px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
-15.6962	-9.36691	4.89418	3.31901	-0.425415	-15.9382	-9.35751	-15.7324	-9.45431	-4.82275	-0.899159	1.9501
-15.9511	-9.45383	4.93002	3.31711	-0.401308	-16.0862	-9.59819	-15.9741	-9.49642	-4.83827	-0.784484	2.12119
-16.1989	-9.46692	4.87098	3.28096	-0.424102	-16.6033	-8.85459	-16.2164	-9.53277	-4.85124	-0.668734	2.03696
-16.4481	-9.45882	4.87942	3.24023	-0.448287	-16.4229	-9.37029	-16.4594	-9.5633	-4.8616	-0.55198	0.521282
-16.6573	-9.46702	4.77812	3.21459	-0.454354	-16.011	-9.33486	-16.7027	-9.58797	-4.8693	-0.434301	4.83684
-16.9455	-9.44559	4.86878	3.16832	-0.483469	-17.1132	-9.43043	-16.9464	-9.60673	-4.87427	-0.315773	1.65831
-17.2002	-9.50518	4.97645	3.17444	-0.440364	-16.9255	-10.8571	-17.1903	-9.61954	-4.87646	-0.196479	7.97631
-17.4627	-9.52249	5.00236	3.15658	-0.435315	-17.5448	-9.57485	-17.4342	-9.62636	-4.87583	-0.0765024	0.501483
-17.7187	-9.51408	4.95016	3.12618	-0.450252	-18.1371	-9.39146	-17.6781	-9.62717	-4.87232	0.0440703	1.66033
-17.9745	-9.47912	4.97131	3.08958	-0.467623	-17.9724	-9.42299	-17.9216	-9.62194	-4.86588	0.165151	0.209422
-18.2142	-9.44684	4.89533	3.05509	-0.486116	-18.3083	-9.18778	-18.1648	-9.61064	-4.85648	0.286648	0.544996
-18.4043	-9.49981	4.77348	3.07114	-0.436272	-18.2763	-9.60997	-18.4074	-9.59325	-4.84408	0.40847	1.94778
-18.6406	-9.48956	4.85357	3.05888	-0.418453	-18.2443	-9.58547	-18.6493	-9.56977	-4.82864	0.530522	1.79277
-18.8922	-9.47659	4.87014	3.04204	-0.413567	-18.9545	-9.51544	-18.8904	-9.54017	-4.81012	0.652707	0.285468
-19.1218	-9.43958	4.89974	3.0202	-0.411051	-18.6983	-9.02886	-19.1305	-9.50447	-4.78851	0.774927	3.86339
-19.3769	-9.30994	4.96275	2.95312	-0.468201	-19.2983	-9.09865	-19.3694	-9.46265	-4.76378	0.897083	3.12696
-19.6074	-9.23696	4.87295	2.91288	-0.49628	-19.7037	-8.79906	-19.6069	-9.41472	-4.73591	1.01907	1.12364
-19.8667	-9.10417	4.95758	2.85273	-0.53961	-19.8731	-8.96417	-19.8431	-9.36071	-4.70487	1.1408	1.34219
-20.1078	-8.99757	4.99895	2.81142	-0.555921	-20.3815	-7.6755	-20.0775	-9.30061	-4.67066	1.26215	4.90576
-20.254	-9.15909	4.65271	2.89595	-0.419195	-20.1607	-9.59663	-20.3102	-9.23446	-4.63328	1.38303	14.0478
-20.493	-9.12104	4.71789	2.88881	-0.397869	-20.4587	-9.7448	-20.5409	-9.16227	-4.59271	1.50334	1.63914
-20.7197	-9.0153	4.74913	2.84847	-0.422704	-20.6596	-8.91527	-20.7696	-9.08409	-4.54895	1.62296	0.80362
-20.963	-8.93558	4.76652	2.82212	-0.431668	-21.5568	-8.5005	-20.9959	-8.99994	-4.50202	1.74179	2.58281
-21.1565	-8.8682	4.69999	2.80406	-0.426746	-21.0195	-8.85081	-21.2198	-8.90987	-4.45191	1.85972	1.03095
-21.3892	-8.78473	4.69408	2.77911	-0.434936	-21.8628	-8.64129	-21.4412	-8.81393	-4.39865	1.97666	1.99127
-21.5751	-8.7657	4.57627	2.78634	-0.399049	-21.5029	-8.87191	-21.6597	-8.71217	-4.34224	2.0925	1.15179
-21.7582	-8.64207	4.41348	2.73307	-0.45463	-21.9514	-7.41274	-21.8754	-8.60465	-4.2827	2.20712	5.92323
